dist|blck|clst|klpid|name
bellary|sandur|none|4036| GUHPS CHORANOOR                                            
bidar|bhalki|none|5082| GOVT. HPS MAR. BOLEGAON                                    
koppal|gangavathi|muslapur|19714|GLPS Halebommasagarcamp(Newschool)
koppal|gangavathi|kesarahatti|19850|GLPS BATRAHANCHINAL
koppal|koppal|koppal (w)|20080|GULPS NIRMITHI KENDRA-GOURI ANGAL
raichur|manvi|sangapur|24013|GHPS JANEKAL
raichur|manvi|none|24176| GHPS KARADIGUDDA                                           
raichur|manvi|none|24187| GHPS SANGAPUR                                              
raichur|manvi|sangapur|24197|GHPS GAVIGAT
raichur|manvi|none|24235| GHPS GUDADINNI.K                                           
yadgiri|yadgir|none|25661| GOVT LPS MUMINPURA GUM                                     
bangalore u south|south-2|none|32136| GTHPS BELIMUTT                                             
bangalore u south|south-3|ejipura|32261|GKLPS LR NAGARA
bangalore u south|south-1|none|32425| GKLPS CHENNAVEERANA PALYA                                  
bangalore u south|south-2|kalasipalya|32440|GTKLPS ANJANAPPA GARDEN
bangalore u north|north-4|kakolu|32582|GKLPS KADATHANAMALE
bangalore u north|north-3|none|32606| GKLPS OPH ROAD BLACKPALLI                                  
bangalore u south|south-3|hongasandra|32640|GKHPS GARVEBAVIPALYA
bangalore u south|south-4|none|32687| GULPS SANJAY NAGAR                                         
bangalore u north|north-3|frazer town|32688|GKHPS JAI BHARTHA NAGAR
bangalore u north|north-3|pottery town|32698|GUMPGS FRAZER TOWN
bangalore u north|north-4|none|32780| GKLPS T. AGRAHARA                                          
bangalore u north|north-4|t.dasarahalli|32838|GULPS KALASTHRINAGAR
bangalore u north|north-4|yelehanka new town|32890|GKLPS VEERASAGARA
bangalore u north|north-4|yelehanka old town|32940|GKMPS BANGALE
bangalore u south|south-2|chikkapete|33068|GKLPS NEW K.P AGRAHARA
bangalore u south|south-2|govindaraja nagara|33086|GUHPS HOSAHALLI
bangalore u north|north-3|vasanthnagar|33139|GKHPS SAMPANGI RAM NAGAR
bangalore u north|north-3|none|33143| GTLPS HOSPITAL ROAD                                        
bangalore u north|north-3|k.b.sandra|33153|GTLPS ASHOK NAGAR
bangalore u north|north-2|none|33164| GKHPS BHARATIYA VIDYA MANDIR                               
bangalore u north|north-2|none|33167| GTHPS BHARATIYA VIDYA MANDIR                               
bangalore u north|north-2|malleshwaram|33175|GKMPS SUBEDHAR PALYA
bangalore u north|north-2| sheshadripuram            |33181| GKLPS POLICE COLONY                                        
bangalore u north|north-2|sheshadripuram|33185|GULPS OLD SEWARILANE SHESHADRI
bangalore u south|anekal|mugalur|33380|GKLPS NEKKUNDI BADAVANE
dharwad|hubli| urdu hubli                |35211|  LPUS SHEREWAD                                                   
dharwad|hubli city| ghantikeri hbl            |35388|  HPS NO-5 GANTIKERI                                              
dharwad|hubli city| pendargalli hubli         |35415| HPKGS JAGADGURUMURSAVIRMATH                                
bangalore u south|anekal| sab mangala               |35475| GKLPS ASHRAYAMANE YOJANE                                   
dharwad|dharwad city| gulaganjikoppa dwd        |36274| HPS SHRI MAHANTESH HIGH SCHOOL                             
dharwad|dharwad city| saptapur dwd              |36278| HPS SIDDARAMESHWAR HIGH SCHOOL                             
dharwad|dharwad city| malamaddi dwd             |36279| HPS D. R . BENDRE                                          
dharwad|dharwad city| saptapur dwd              |36280| HPS UTTANGI CHANNAPPA PRIMARY SCHOOL                       
dharwad|dharwad city| madarmaddi dwd            |36289| HPS VANITA SEVA SAMAJ                                      
dharwad|hubli city| anand nagar hbl           |36290| HPS SHRI ABHINAVA VIDHYA SAMSTHEY                          
dharwad|hubli city| hale hubli hbl            |36291| HPS SHRI JIVESHWAR                                         
dharwad|hubli city| indipump hbl              |36295| HPS GURUDEV VIDHYA SAMSTHEY                                
dharwad|dharwad city| malamaddi dwd             |36298| HPS MARUTI HIGH SCHOOL                                     
dharwad|navalgund| morab                     |37700| HPS NO. 2 MORAB                                            
dharwad|hubli city| nagashettikoppa hbl       |37744| HPS SHIRADI NAGAR HUBLI                                    
bellary|sandur| bhujanga nagar            |38183| GLPS   KAMMATHUR                                           
raichur|sindhanur| sindhanur                 |38359| URDU HPS SINDHANUR                                         
raichur|raichur| yapaladinni               |38443| GLPS JANATHA COLONY YAPALADINNI                            
bidar|bidar| gadagi                    |38800| GOVT HPS HAMILAPUR                                         
yadgiri|shorapur| pethammapur               |38957| HPS SAGARNADU                                              
yadgiri|shorapur| maranal                   |38960| LPS MAVINAGIDADA TANDA                                     

