dist|blck|clst|klpid|name|disecode|last year
bangalore u south|south-3|lalbagh siddapura|32143|GKHPS 4TH T BLOCK JAYANAGAR|29200905533|1011
bangalore u north|north-3|j.c nagar|32315|GTELPS MRS PALYA|29280602205|1213
bangalore u south|south-1|none|32339| GKLPS THYAGARAJNAGAR                                       |29200135506|1314
bangalore u south|south-1|none|32344| GULPBS KANAKANAPALY                                        |29200111144|1011
bangalore u south|anekal|none|32414| GKLPS T B C KOONMADIVALA                                   |29200403002|1112
bangalore u south|anekal|none|32623| GKLPS KORATAGEREDODDI                                      |29200408101|1112
bangalore u north|north-4|none|32777| GKLPS SADENAHALLI                                          |29280703501|1314
bangalore u south|south-1|none|32971| GKLPS JP NAGAR SLUM                                        |29200124406|1011
bangalore u south|south-1|none|33057| GKLPS HALUBAVIPALYA                                        |29200100501|1112
bangalore u south|south-3|urdu1|33113|GUHPS V V PURAM|29200908002|1213
bangalore u north|north-3|vasanthnagar|33142|GTHPS VASANTH NAGAR|29280602401|1314
bangalore u north|north-2| prakashnagar              |33187| GKLPS MARIYAPPANA PALYA                                    |29280502511|1112
bangalore u north|north-4| mathahalli                |33245| GKLPS AGRAHARAPALYA                                        |29280718901|1314
bangalore u south|anekal| sab mangala               |33427| GKLPS HALDENAHALLI                                         |29200419601|1112
